
Beginning data output...


Time           JOINT_HEAD                         JOINT_SHOULDER_LEFT                JOINT_SHOULDER_RIGHT               JOINT_HAND_LEFT                    JOINT_HAND_RIGHT                   JOINT_SPINE_MID                    JOINT_CENTER_MASS                  
1              0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
2              142  , 51   , 1780                 129  , 92   , 2004                 171  , 98   , 1959                 98   , 176  , 2254                 191  , 182  , 2031                 151  , 140  , 1936                 161  , 113  , 1.968                
3              142  , 51   , 1780                 129  , 100  , 2008                 173  , 100  , 2021                 98   , 176  , 2254                 197  , 168  , 1998                 155  , 148  , 1964                 161  , 113  , 1.994                
4              149  , 67   , 1911                 131  , 104  , 1992                 171  , 104  , 2031                 92   , 187  , 2050                 197  , 168  , 1998                 153  , 152  , 1964                 161  , 113  , 2.022                
5              149  , 67   , 1911                 141  , 102  , 2004                 175  , 104  , 2021                 92   , 183  , 2021                 217  , 176  , 2247                 157  , 150  , 1992                 161  , 113  , 2.087                
6              149  , 67   , 1911                 139  , 106  , 2004                 173  , 108  , 2044                 86   , 180  , 2068                 211  , 154  , 2099                 157  , 150  , 1981                 164  , 110  , 2.127                
7              149  , 67   , 1911                 143  , 106  , 2050                 173  , 116  , 2074                 84   , 170  , 2068                 231  , 162  , 2268                 157  , 154  , 2008                 164  , 110  , 2.191                
8              155  , 65   , 2061                 147  , 118  , 2027                 175  , 108  , 2061                 84   , 170  , 2068                 222  , 152  , 2367                 159  , 148  , 2061                 166  , 110  , 2.188                
9              155  , 65   , 2061                 147  , 112  , 2106                 167  , 110  , 2099                 74   , 170  , 2074                 220  , 142  , 2336                 159  , 146  , 2050                 166  , 110  , 2.169                
10             155  , 65   , 2061                 140  , 96   , 2119                 169  , 114  , 2106                 74   , 170  , 2074                 214  , 134  , 2399                 161  , 146  , 2050                 169  , 110  , 2.138                
11             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
12             155  , 65   , 2061                 144  , 104  , 2204                 179  , 122  , 2169                 70   , 158  , 2099                 224  , 134  , 2511                 163  , 152  , 2124                 171  , 110  , 2.191                
13             155  , 65   , 2061                 144  , 96   , 2219                 179  , 120  , 2136                 70   , 158  , 2099                 220  , 130  , 2530                 165  , 154  , 2106                 171  , 110  , 2.214                
14             155  , 65   , 2061                 150  , 104  , 2232                 188  , 118  , 2254                 76   , 152  , 2169                 264  , 132  , 2399                 171  , 154  , 2117                 177  , 110  , 2.36                 
15             168  , 70   , 2219                 154  , 106  , 2224                 190  , 108  , 2232                 86   , 146  , 2169                 264  , 132  , 2399                 175  , 154  , 2143                 177  , 110  , 2.297                
16             168  , 70   , 2219                 154  , 108  , 2239                 188  , 120  , 2224                 79   , 148  , 2219                 274  , 126  , 2450                 175  , 156  , 2136                 169  , 100  , 2.284                
17             168  , 70   , 2219                 156  , 108  , 2260                 191  , 126  , 2191                 79   , 148  , 2219                 274  , 126  , 2450                 177  , 156  , 2157                 169  , 100  , 2.308                
18             170  , 88   , 2361                 162  , 118  , 2211                 193  , 124  , 2157                 79   , 148  , 2219                 278  , 195  , 1659                 179  , 166  , 2157                 171  , 100  , 2.323                
19             174  , 70   , 2232                 162  , 106  , 2247                 198  , 122  , 2297                 122  , 134  , 2106                 279  , 114  , 2376                 181  , 158  , 2164                 171  , 100  , 2.338                
20             174  , 70   , 2232                 164  , 122  , 2284                 198  , 128  , 2297                 105  , 140  , 2336                 274  , 195  , 1707                 183  , 168  , 2143                 171  , 100  , 2.385                
21             174  , 70   , 2232                 166  , 106  , 2224                 200  , 112  , 2336                 105  , 140  , 2336                 277  , 110  , 2361                 183  , 158  , 2157                 171  , 100  , 2.341                
22             174  , 70   , 2232                 166  , 102  , 2232                 199  , 136  , 2184                 117  , 138  , 2367                 254  , 112  , 2432                 184  , 158  , 2191                 174  , 100  , 2.353                
23             174  , 70   , 2232                 166  , 122  , 2291                 197  , 130  , 2133                 97   , 148  , 2336                 278  , 201  , 1651                 183  , 170  , 2164                 174  , 100  , 2.381                
24             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
25             174  , 70   , 2232                 168  , 120  , 2291                 204  , 134  , 2330                 119  , 132  , 2460                 278  , 201  , 1651                 185  , 168  , 2164                 177  , 99   , 2.35                 
26             174  , 70   , 2232                 166  , 110  , 2268                 200  , 128  , 2232                 119  , 132  , 2460                 283  , 104  , 2353                 185  , 160  , 2177                 177  , 99   , 2.369                
27             174  , 70   , 2232                 168  , 110  , 2297                 197  , 132  , 2133                 119  , 132  , 2460                 282  , 195  , 1632                 186  , 166  , 2191                 177  , 99   , 2.357                
28             174  , 70   , 2232                 171  , 94   , 2466                 194  , 124  , 2284                 93   , 146  , 2336                 282  , 195  , 1632                 186  , 160  , 2211                 177  , 99   , 2.373                
29             174  , 70   , 2232                 168  , 116  , 2291                 195  , 128  , 2136                 119  , 126  , 2384                 282  , 195  , 1632                 187  , 168  , 2143                 177  , 99   , 2.366                
30             174  , 70   , 2232                 168  , 126  , 2276                 202  , 140  , 2268                 119  , 126  , 2384                 282  , 195  , 1632                 185  , 170  , 2157                 177  , 99   , 2.333                
31             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
32             174  , 98   , 2361                 166  , 134  , 2305                 195  , 134  , 2119                 101  , 136  , 2408                 282  , 195  , 1632                 185  , 174  , 2131                 177  , 99   , 2.351                
33             174  , 67   , 2305                 164  , 108  , 2313                 198  , 122  , 2291                 107  , 128  , 2450                 282  , 195  , 1632                 184  , 160  , 2224                 177  , 99   , 2.363                
34             174  , 67   , 2305                 166  , 120  , 2284                 200  , 96   , 2393                 92   , 138  , 2547                 282  , 195  , 1632                 184  , 156  , 2211                 174  , 99   , 2.342                
35             174  , 67   , 2305                 168  , 108  , 2254                 200  , 96   , 2353                 120  , 128  , 2284                 282  , 195  , 1632                 183  , 158  , 2157                 174  , 99   , 2.359                
36             174  , 67   , 2305                 164  , 98   , 2336                 195  , 130  , 2119                 103  , 128  , 2376                 282  , 195  , 1632                 181  , 156  , 2143                 174  , 99   , 2.372                
37             174  , 67   , 2305                 164  , 100  , 2322                 196  , 126  , 2268                 103  , 128  , 2376                 282  , 195  , 1632                 181  , 158  , 2177                 174  , 99   , 2.364                
38             174  , 67   , 2305                 161  , 98   , 2417                 192  , 124  , 2268                 103  , 128  , 2376                 226  , 102  , 2441                 180  , 152  , 2239                 174  , 96   , 2.362                
39             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
40             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
41             172  , 67   , 2305                 162  , 104  , 2305                 194  , 132  , 2260                 109  , 122  , 2330                 226  , 102  , 2441                 180  , 156  , 2191                 174  , 99   , 2.384                
42             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
43             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
