
Beginning joint data output...


Time           JOINT_HEAD                         JOINT_SHOULDER_LEFT                JOINT_SHOULDER_RIGHT               JOINT_HAND_LEFT                    JOINT_HAND_RIGHT                   JOINT_SPINE_MID                    JOINT_CENTER_MASS                  
1              162  , 84   , 2344                 141  , 136  , 2376                 174  , 122  , 2426                 89   , 185  , 2384                 213  , 191  , 2099                 154  , 170  , 2393                 165  , 1.27e+05, 2.404             
2              148  , 94   , 2336                 137  , 120  , 2476                 167  , 120  , 2466                 89   , 185  , 2384                 213  , 191  , 2099                 150  , 162  , 2384                 158  , 1.38e+05, 2.423             
3              148  , 94   , 2336                 129  , 124  , 2450                 163  , 120  , 2466                 74   , 187  , 2530                 213  , 191  , 2099                 145  , 164  , 2384                 158  , 1.38e+05, 2.435             
4              148  , 94   , 2336                 125  , 120  , 2567                 163  , 118  , 2530                 74   , 187  , 2530                 224  , 187  , 2540                 141  , 166  , 2376                 151  , 1.42e+05, 2.488             
5              139  , 88   , 2476                 119  , 118  , 2577                 159  , 116  , 2530                 68   , 185  , 2657                 222  , 180  , 2441                 139  , 166  , 2450                 151  , 1.42e+05, 2.471             
6              139  , 88   , 2476                 119  , 122  , 2612                 157  , 114  , 2530                 60   , 187  , 2597                 219  , 178  , 2654                 137  , 164  , 2417                 143  , 1.34e+05, 2.514             
7              139  , 88   , 2476                 117  , 114  , 2615                 157  , 140  , 2557                 60   , 187  , 2597                 225  , 172  , 2670                 141  , 164  , 2408                 143  , 1.34e+05, 2.537             
8              139  , 88   , 2476                 117  , 116  , 2584                 159  , 116  , 2567                 58   , 170  , 2706                 225  , 172  , 2670                 139  , 166  , 2450                 140  , 1.31e+05, 2.508             
9              139  , 88   , 2476                 117  , 118  , 2494                 159  , 122  , 2594                 58   , 187  , 2668                 225  , 172  , 2670                 139  , 166  , 2441                 140  , 1.31e+05, 2.604             
10             139  , 88   , 2476                 115  , 118  , 2540                 153  , 130  , 2557                 58   , 187  , 2668                 225  , 172  , 2670                 137  , 168  , 2417                 140  , 1.31e+05, 2.487             
11             139  , 88   , 2476                 115  , 116  , 2557                 157  , 116  , 2577                 58   , 187  , 2668                 215  , 172  , 2644                 139  , 164  , 2460                 140  , 1.31e+05, 2.548             
12             139  , 88   , 2476                 113  , 118  , 2547                 157  , 118  , 2567                 58   , 187  , 2668                 215  , 172  , 2644                 137  , 168  , 2476                 136  , 1.31e+05, 2.568             
13             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
14             139  , 88   , 2476                 113  , 126  , 2605                 149  , 112  , 2615                 58   , 187  , 2668                 215  , 172  , 2644                 135  , 164  , 2367                 136  , 1.31e+05, 2.652             
