
Beginning data output...


Time           JOINT_HEAD                         JOINT_SHOULDER_LEFT                JOINT_SHOULDER_RIGHT               JOINT_HAND_LEFT                    JOINT_HAND_RIGHT                   JOINT_SPINE_MID                    
1              69.833, 350.9, 988                 125.32, 109.79, 1030               -20.105, 364.27, 1084              -123.54, -126.56, 1300             1042.1, 934.79, 3139               339.47, 143.32, 1085               
2              642.26, 1018.7, 3349               231.39, 11.706, 1065               0.67529, 290.74, 1178              -6.1424, 369.36, 1059              1042.1, 934.79, 3139               332.55, 122.57, 1085               
3              642.26, 1018.7, 3349               229.44, 51.99, 1056                0.59274, 347.46, 1034              -6.1424, 369.36, 1059              1042.1, 934.79, 3139               1002.9, 907.89, 3414               
4              0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
5              642.26, 1018.7, 3349               132.65, 97.226, 1036               -13.014, 331.97, 1069              -154.63, -141.26, 1283             570.43, -148.4, 1208               991.17, 939.18, 3449               
6              642.26, 1018.7, 3349               139.39, 97.319, 1037               -19.92, 333.53, 1074               -154.63, -141.26, 1283             1614.7, 531.68, 3374               314.39, 123.59, 1094               
7              642.26, 1018.7, 3349               133.8, 98.07, 1045                 -20.291, 332.76, 1094              -154.63, -141.26, 1283             594.98, -146.76, 1260              978.18, 659.47, 3481               
8              52.798, 344.1, 1024                147.83, 91.847, 1050               -29.207, 289.26, 1172              -154.63, -141.26, 1283             546.57, 1146.5, 3287               305.94, 125.85, 1114               
9              642.26, 1061.4, 3349               237.91, 32.973, 1095               -29.357, 290.74, 1178              -154.63, -141.26, 1283             1033.7, 345.12, 3055               303.19, 96.571, 1104               
10             53.108, 346.12, 1030               133.93, 98.164, 1046               -26.964, 336.01, 1082              -154.63, -141.26, 1283             528.18, 1152 , 3303                301.25, 134.02, 1123               
11             642.26, 1104 , 3349                223.75, 60.833, 1094               -20.309, 326.09, 1095              -154.63, -141.26, 1283             279.96, -49.569, 1069              300.99, 133.9, 1122                
12             46.408, 351.66, 1027               134.44, 105.23, 1050               -20.012, 341.96, 1079              -154.63, -141.26, 1283             614.61, 1156.2, 3315               300.99, 133.9, 1122                
13             46.408, 351.66, 1027               147.27, 84.831, 1046               -29.357, 298.25, 1178              -154.63, -141.26, 1283             508.97, 966.07, 3315               951.05, 942.99, 3463               
14             624.07, 1152.6, 3366               134.83, 112.24, 1053               -26.914, 349.16, 1080              -154.63, -141.26, 1283             978.78, 1013.5, 3332               308.14, 105.3, 1122                
15             53.263, 347.13, 1033               141.14, 105.23, 1050               -20.031, 335.39, 1080              -154.63, -141.26, 1283             1077.4, 603.21, 3184               310.06, 120.34, 1129               
16             53.263, 347.13, 1033               140.6, 98.164, 1046                -13.208, 323.11, 1085              -154.63, -141.26, 1283             1092.5, 984.12, 3169               964.13, 978.01, 3431               
17             53.263, 347.13, 1033               141.54, 98.821, 1053               -13.05, 326.07, 1072               -154.63, -141.26, 1283             1018.9, 816.14, 3069               321.29, 112.05, 1118               
18             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
19             620.92, 1125.4, 3349               121.06, 105.23, 1050               -13.087, 340.69, 1075              -154.63, -141.26, 1283             266.24, -81.523, 1042              978.78, 1056 , 3332                
20             46.453, 352  , 1028                133.93, 104.83, 1046               -6.1888, 331.35, 1067              -154.63, -141.26, 1283             567.52, 1041.7, 3287               331.34, 54.353, 1104               
21             629.63, 1162.8, 3396               121.75, 119.29, 1056               0.59732, 336.87, 1042              -154.63, -141.26, 1283             257.61, -61.126, 1034              346.35, 54.501, 1107               
22             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
23             629.63, 1162.8, 3396               127.75, 105.23, 1050               -21.886, 253.63, 1180              -154.63, -141.26, 1283             261.9, -73.66, 1025                344.47, 110.34, 1101               
24             629.63, 1162.8, 3396               128.12, 105.53, 1053               13.933, 331.5, 1046                -154.63, -141.26, 1283             261.9, -73.66, 1025                1077.4, 948.19, 3184               
25             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
26             189.56, 281.36, 1140               252.96, -1.8287, 1042              64.365, 260.04, 1111               -19.938, 374.94, 1075              261.9, -73.66, 1025                361.76, 75.94, 1111                
27             189.56, 281.36, 1140               265.73, -8.4536, 1040              70.546, 186.85, 1097               -19.938, 374.94, 1075              261.9, -73.66, 1025                366.52, 75.462, 1104               
28             189.56, 281.36, 1140               306.63, -1.8726, 1067              77.043, 178.71, 1090               -67.253, -129.87, 1334             532.97, -205.06, 1099              364.86, 82.125, 1099               
29             189.56, 281.36, 1140               245.61, -1.8235, 1039              79.022, 240.31, 1118               -13.33, 374.94, 1095               532.97, -205.06, 1099              370.5, 133.18, 1116                
30             189.56, 281.36, 1140               293.93, -28.502, 1046              70.674, 187.19, 1099               -13.33, 374.94, 1095               352.25, -35.673, 1061              370.51, 88.805, 1095               
31             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
32             642.26, 1125.4, 3349               245.14, -1.82, 1037                23.081, 266.85, 1172               -6.3048, 351.42, 1087              352.25, -35.673, 1061              1121.7, 628.02, 3315               
33             642.26, 1125.4, 3349               159.22, 77.491, 1037               23.16, 267.76, 1176                -6.3048, 351.42, 1087              352.25, -35.673, 1061              1178.3, 669.32, 3418               
