
Beginning joint data output...


Time           JOINT_HEAD                         JOINT_SHOULDER_LEFT                JOINT_SHOULDER_RIGHT               JOINT_HAND_LEFT                    JOINT_HAND_RIGHT                   JOINT_SPINE_MID                    JOINT_CENTER_MASS                  
1              194  , 61   , 1953                 183  , 116  , 2038                 224  , 106  , 2027                 102  , 158  , 2184                 303  , 158  , 1792                 197  , 164  , 2021                 201  , 1.08e+05, 2.013             
2              194  , 61   , 1953                 169  , 106  , 2081                 214  , 114  , 1964                 102  , 158  , 2184                 307  , 174  , 1869                 185  , 160  , 1992                 197  , 1.15e+05, 2.008             
3              180  , 80   , 1911                 167  , 106  , 2074                 207  , 108  , 2027                 86   , 174  , 2112                 278  , 189  , 2107                 181  , 162  , 2027                 197  , 1.15e+05, 2.061             
4              180  , 80   , 1911                 153  , 120  , 2074                 201  , 114  , 2050                 86   , 174  , 2112                 278  , 182  , 2021                 173  , 166  , 1969                 184  , 1.27e+05, 2.003             
5              180  , 80   , 1911                 153  , 114  , 2044                 197  , 112  , 2068                 74   , 166  , 2177                 271  , 172  , 2131                 169  , 156  , 1992                 184  , 1.27e+05, 2.118             
6              165  , 68   , 2014                 144  , 96   , 2219                 191  , 112  , 2061                 74   , 166  , 2177                 265  , 168  , 2224                 167  , 156  , 1981                 173  , 1.19e+05, 2.027             
7              165  , 68   , 2014                 149  , 116  , 2008                 189  , 102  , 2129                 65   , 170  , 2204                 269  , 158  , 2177                 165  , 156  , 1986                 173  , 1.19e+05, 2.097             
8              165  , 68   , 2014                 147  , 122  , 2050                 185  , 100  , 2124                 65   , 170  , 2204                 269  , 150  , 2254                 165  , 158  , 2014                 165  , 1.15e+05, 2.088             
9              165  , 68   , 2014                 138  , 108  , 2152                 185  , 122  , 2164                 65   , 170  , 2204                 274  , 150  , 2069                 163  , 164  , 2021                 165  , 1.15e+05, 2.12              
10             165  , 68   , 2014                 138  , 100  , 2087                 187  , 100  , 2184                 65   , 170  , 2204                 266  , 146  , 2097                 165  , 158  , 2021                 161  , 1.15e+05, 2.131             
11             165  , 68   , 2014                 138  , 112  , 2131                 187  , 110  , 2152                 65   , 170  , 2204                 266  , 146  , 2097                 165  , 164  , 1992                 161  , 1.15e+05, 2.142             
12             165  , 68   , 2014                 140  , 108  , 2184                 192  , 108  , 2224                 65   , 170  , 2204                 266  , 146  , 2097                 165  , 164  , 2050                 158  , 1.15e+05, 2.147             
13             165  , 68   , 2014                 140  , 106  , 2109                 188  , 102  , 2198                 65   , 170  , 2204                 266  , 146  , 2097                 167  , 160  , 2031                 158  , 1.15e+05, 2.169             
14             165  , 68   , 2014                 140  , 102  , 2224                 190  , 100  , 2247                 65   , 170  , 2204                 266  , 146  , 2097                 165  , 160  , 2027                 158  , 1.15e+05, 2.142             
15             165  , 68   , 2014                 140  , 106  , 2224                 187  , 98   , 2116                 65   , 170  , 2204                 266  , 146  , 2097                 167  , 160  , 1992                 158  , 1.15e+05, 2.162             
16             165  , 68   , 2014                 140  , 122  , 2143                 185  , 94   , 2184                 65   , 170  , 2204                 266  , 146  , 2097                 167  , 164  , 1992                 158  , 1.15e+05, 2.174             
17             165  , 68   , 2014                 140  , 106  , 2211                 181  , 116  , 2112                 65   , 170  , 2204                 231  , 126  , 2268                 167  , 160  , 2021                 158  , 1.15e+05, 2.159             
18             165  , 68   , 2014                 140  , 104  , 2247                 186  , 102  , 2198                 65   , 170  , 2204                 272  , 134  , 2079                 169  , 156  , 2044                 157  , 1.15e+05, 2.187             
19             165  , 68   , 2014                 140  , 108  , 2177                 187  , 102  , 2191                 65   , 170  , 2204                 249  , 134  , 2136                 167  , 160  , 2031                 157  , 1.15e+05, 2.13              
