
Beginning joint data output...


Time           JOINT_HEAD                         JOINT_SHOULDER_LEFT                JOINT_SHOULDER_RIGHT               JOINT_HAND_LEFT                    JOINT_HAND_RIGHT                   JOINT_SPINE_MID                    JOINT_CENTER_MASS                  
1              0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
2              0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
3              0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
4              0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
5              0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
6              65   , 74   , 1762                 57   , 100  , 1880                 100  , 102  , 2021                 18   , 205  , 1651                 177  , 142  , 2027                 73   , 156  , 1817                 58   , 1.29e+05, 1.898             
7              65   , 74   , 1762                 61   , 120  , 1831                 107  , 92   , 1959                 6    , 193  , 1651                 197  , 128  , 2068                 79   , 154  , 1800                 63   , 1.24e+05, 1.888             
8              89   , 51   , 1808                 69   , 92   , 1822                 125  , 92   , 1986                 0    , 185  , 1715                 197  , 128  , 2068                 95   , 144  , 1827                 63   , 1.24e+05, 1.942             
9              89   , 51   , 1808                 73   , 88   , 1827                 129  , 88   , 2008                 0    , 180  , 1728                 209  , 124  , 2124                 107  , 146  , 1860                 81   , 1.02e+05, 1.903             
10             89   , 51   , 1808                 99   , 108  , 1822                 151  , 90   , 1936                 5    , 182  , 1767                 205  , 102  , 2074                 126  , 156  , 1780                 81   , 1.02e+05, 2.001             
11             112  , 61   , 1758                 103  , 112  , 1827                 159  , 100  , 1959                 5    , 182  , 1767                 235  , 106  , 2114                 136  , 162  , 1780                 99   , 1.06e+05, 1.935             
12             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
13             112  , 61   , 1758                 127  , 96   , 1911                 182  , 92   , 1911                 44   , 191  , 1948                 238  , 114  , 1943                 154  , 154  , 1803                 116  , 1.24e+05, 2.027             
14             112  , 61   , 1758                 131  , 94   , 1936                 182  , 94   , 1926                 54   , 193  , 2074                 238  , 114  , 1943                 156  , 156  , 1803                 116  , 1.24e+05, 1.953             
15             138  , 63   , 1767                 131  , 100  , 1953                 186  , 100  , 1926                 56   , 187  , 2061                 259  , 128  , 1817                 160  , 160  , 1793                 130  , 1.15e+05, 1.973             
16             138  , 63   , 1767                 133  , 108  , 1889                 188  , 102  , 1895                 56   , 187  , 2061                 259  , 128  , 1817                 162  , 160  , 1817                 130  , 1.15e+05, 1.972             
17             138  , 63   , 1767                 133  , 116  , 1869                 188  , 102  , 1895                 56   , 187  , 2061                 267  , 124  , 1846                 162  , 160  , 1808                 139  , 1.11e+05, 1.993             
18             138  , 63   , 1767                 135  , 112  , 1885                 186  , 86   , 1943                 54   , 183  , 2124                 267  , 124  , 1846                 164  , 156  , 1758                 139  , 1.11e+05, 1.993             
19             138  , 63   , 1767                 135  , 108  , 1902                 188  , 102  , 1953                 52   , 176  , 1998                 267  , 124  , 1846                 160  , 158  , 1789                 143  , 1.11e+05, 1.959             
20             138  , 63   , 1767                 135  , 110  , 1880                 186  , 104  , 1948                 52   , 176  , 1998                 267  , 124  , 1846                 160  , 162  , 1803                 143  , 1.11e+05, 1.983             
21             138  , 63   , 1767                 131  , 100  , 1969                 187  , 100  , 1959                 52   , 176  , 1998                 267  , 124  , 1846                 160  , 160  , 1771                 143  , 1.11e+05, 2.001             
22             138  , 63   , 1767                 135  , 110  , 1880                 186  , 104  , 1915                 52   , 176  , 1998                 267  , 124  , 1846                 162  , 160  , 1793                 143  , 1.11e+05, 1.973             
23             138  , 63   , 1767                 135  , 110  , 1906                 186  , 100  , 1943                 52   , 176  , 1998                 267  , 124  , 1846                 160  , 160  , 1754                 143  , 1.11e+05, 1.941             
24             138  , 63   , 1767                 133  , 108  , 1885                 189  , 100  , 1975                 52   , 176  , 1998                 267  , 124  , 1846                 160  , 160  , 1780                 143  , 1.11e+05, 1.982             
25             138  , 63   , 1767                 134  , 116  , 1865                 186  , 120  , 1926                 52   , 176  , 1998                 267  , 124  , 1846                 160  , 166  , 1771                 143  , 1.11e+05, 1.953             
26             138  , 63   , 1767                 133  , 114  , 1880                 188  , 104  , 1921                 52   , 176  , 1998                 267  , 124  , 1846                 160  , 162  , 1745                 143  , 1.11e+05, 2.005             
27             138  , 63   , 1767                 133  , 108  , 1895                 184  , 112  , 1885                 52   , 176  , 1998                 267  , 124  , 1846                 158  , 164  , 1767                 143  , 1.11e+05, 1.964             
28             138  , 63   , 1767                 133  , 110  , 1885                 186  , 94   , 1943                 52   , 176  , 1998                 275  , 144  , 1807                 162  , 158  , 1767                 143  , 1.11e+05, 1.952             
29             138  , 63   , 1767                 129  , 112  , 1936                 187  , 124  , 1969                 52   , 176  , 1998                 275  , 144  , 1807                 157  , 166  , 1728                 143  , 1.11e+05, 1.958             
30             138  , 63   , 1767                 129  , 100  , 1969                 186  , 100  , 1936                 52   , 176  , 1998                 265  , 144  , 1779                 158  , 158  , 1775                 143  , 1.11e+05, 1.951             
31             138  , 63   , 1767                 131  , 100  , 1981                 187  , 122  , 1964                 54   , 189  , 2123                 265  , 144  , 1779                 158  , 162  , 1793                 143  , 1.11e+05, 1.944             
32             138  , 63   , 1767                 129  , 102  , 1932                 186  , 102  , 1932                 48   , 182  , 1936                 265  , 144  , 1779                 158  , 162  , 1742                 143  , 1.11e+05, 1.993             
33             138  , 63   , 1767                 129  , 100  , 2004                 187  , 100  , 1964                 49   , 183  , 1915                 265  , 144  , 1779                 158  , 160  , 1785                 143  , 1.11e+05, 1.945             
34             138  , 63   , 1767                 127  , 114  , 1926                 188  , 118  , 1926                 49   , 183  , 1915                 265  , 144  , 1779                 158  , 168  , 1775                 143  , 1.11e+05, 1.942             
35             138  , 63   , 1767                 127  , 100  , 1992                 187  , 100  , 1969                 54   , 185  , 2106                 265  , 144  , 1779                 156  , 162  , 1808                 139  , 1.11e+05, 1.976             
36             138  , 63   , 1767                 129  , 104  , 1911                 189  , 100  , 1969                 54   , 185  , 2106                 265  , 144  , 1779                 158  , 160  , 1808                 139  , 1.11e+05, 1.969             
37             138  , 63   , 1767                 127  , 100  , 1975                 185  , 100  , 1964                 48   , 183  , 1921                 265  , 144  , 1779                 156  , 160  , 1789                 139  , 1.11e+05, 1.962             
38             138  , 63   , 1767                 129  , 104  , 1953                 186  , 98   , 1948                 48   , 183  , 1921                 265  , 144  , 1779                 158  , 160  , 1789                 139  , 1.11e+05, 1.95              
39             138  , 63   , 1767                 127  , 100  , 1959                 185  , 100  , 1992                 48   , 183  , 1921                 265  , 144  , 1779                 156  , 160  , 1800                 139  , 1.11e+05, 1.977             
