
Beginning data output...



Time           JOINT_HEAD                         JOINT_SHOULDER_LEFT                JOINT_SHOULDER_RIGHT               JOINT_HAND_LEFT                    JOINT_HAND_RIGHT                   JOINT_SPINE_MID                    
0              (30   , 91   , 15   )              (72   , 61   , 41   )              (10   , 37   , 98   )              (41   , 94   , 80   )              (41   , 94   , 80   )              (88   , 59   , 5    )              
1              (84   , 14   , 26   )              (13   , 83   , 54   )              (87   , 41   , 46   )              (37   , 53   , 19   )              (37   , 53   , 19   )              (78   , 94   , 76   )              
2              (91   , 56   , 60   )              (94   , 62   , 80   )              (7    , 37   , 66   )              (90   , 7    , 12   )              (90   , 7    , 12   )              (40   , 14   , 36   )              
3              (45   , 14   , 99   )              (45   , 87   , 20   )              (46   , 18   , 97   )              (75   , 12   , 28   )              (75   , 12   , 28   )              (11   , 3    , 29   )              
4              (12   , 52   , 31   )              (83   , 92   , 22   )              (68   , 65   , 53   )              (73   , 76   , 94   )              (73   , 76   , 94   )              (79   , 61   , 43   )              
5              (18   , 63   , 74   )              (3    , 29   , 50   )              (36   , 59   , 69   )              (95   , 22   , 32   )              (95   , 22   , 32   )              (4    , 35   , 8    )              
6              (27   , 33   , 44   )              (57   , 29   , 14   )              (8    , 66   , 26   )              (99   , 27   , 61   )              (99   , 27   , 61   )              (90   , 99   , 82   )              
7              (40   , 54   , 14   )              (35   , 13   , 92   )              (23   , 59   , 47   )              (62   , 65   , 30   )              (62   , 65   , 30   )              (71   , 37   , 1    )              
8              (41   , 45   , 43   )              (17   , 42   , 41   )              (75   , 6    , 11   )              (91   , 29   , 24   )              (91   , 29   , 24   )              (52   , 84   , 39   )              
9              (75   , 53   , 76   )              (38   , 21   , 91   )              (16   , 72   , 83   )              (58   , 20   , 77   )              (58   , 20   , 77   )              (89   , 77   , 12   )              
10             (31   , 58   , 66   )              (29   , 45   , 74   )              (13   , 59   , 70   )              (64   , 8    , 65   )              (64   , 8    , 65   )              (55   , 63   , 9    )              
11             (2    , 13   , 38   )              (5    , 48   , 81   )              (83   , 66   , 11   )              (28   , 11   , 37   )              (28   , 11   , 37   )              (34   , 41   , 25   )              
12             (4    , 98   , 92   )              (85   , 83   , 55   )              (71   , 7    , 35   )              (97   , 46   , 3    )              (97   , 46   , 3    )              (95   , 14   , 25   )              
13             (94   , 27   , 35   )              (28   , 20   , 20   )              (97   , 19   , 75   )              (50   , 92   , 64   )              (50   , 92   , 64   )              (23   , 83   , 1    )              
14             (40   , 83   , 1    )              (78   , 37   , 50   )              (74   , 46   , 94   )              (40   , 83   , 75   )              (40   , 83   , 75   )              (93   , 80   , 24   )              
15             (34   , 35   , 75   )              (10   , 52   , 62   )              (22   , 4    , 8    )              (90   , 76   , 59   )              (90   , 76   , 59   )              (49   , 25   , 50   )              
16             (77   , 8    , 94   )              (67   , 15   , 38   )              (3    , 46   , 31   )              (80   , 55   , 22   )              (80   , 55   , 22   )              (97   , 21   , 47   )              
17             (5    , 41   , 85   )              (45   , 38   , 50   )              (10   , 90   , 91   )              (21   , 82   , 68   )              (21   , 82   , 68   )              (40   , 45   , 94   )              
18             (14   , 71   , 1    )              (61   , 11   , 30   )              (46   , 18   , 64   )              (93   , 72   , 82   )              (93   , 72   , 82   )              (61   , 44   , 58   )              
19             (40   , 90   , 97   )              (86   , 8    , 42   )              (64   , 17   , 76   )              (15   , 88   , 66   )              (15   , 88   , 66   )              (29   , 14   , 15   )              
20             (59   , 87   , 39   )              (97   , 12   , 37   )              (63   , 84   , 99   )              (10   , 23   , 83   )              (10   , 23   , 83   )              (93   , 47   , 64   )              
21             (38   , 34   , 33   )              (61   , 77   , 73   )              (37   , 20   , 54   )              (12   , 98   , 76   )              (12   , 98   , 76   )              (8    , 15   , 77   )              
22             (19   , 32   , 55   )              (85   , 62   , 23   )              (50   , 16   , 75   )              (59   , 60   , 39   )              (59   , 60   , 39   )              (43   , 49   , 85   )              
23             (76   , 60   , 96   )              (90   , 16   , 60   )              (14   , 41   , 99   )              (38   , 55   , 39   )              (38   , 55   , 39   )              (84   , 16   , 30   )              
24             (97   , 83   , 38   )              (96   , 26   , 7    )              (98   , 14   , 38   )              (64   , 45   , 76   )              (64   , 45   , 76   )              (38   , 36   , 16   )              
25             (48   , 66   , 83   )              (35   , 17   , 12   )              (76   , 72   , 26   )              (14   , 50   , 56   )              (14   , 50   , 56   )              (40   , 15   , 34   )              
26             (2    , 8    , 68   )              (77   , 22   , 72   )              (65   , 3    , 11   )              (19   , 69   , 10   )              (19   , 69   , 10   )              (97   , 68   , 43   )              
27             (74   , 70   , 34   )              (38   , 67   , 75   )              (27   , 32   , 36   )              (65   , 80   , 71   )              (65   , 80   , 71   )              (58   , 47   , 15   )              
28             (18   , 25   , 31   )              (65   , 35   , 48   )              (7    , 47   , 79   )              (1    , 19   , 72   )              (1    , 19   , 72   )              (58   , 38   , 48   )              
29             (29   , 44   , 23   )              (31   , 94   , 1    )              (10   , 66   , 64   )              (87   , 40   , 29   )              (87   , 40   , 29   )              (78   , 92   , 39   )              
30             (60   , 91   , 85   )              (52   , 85   , 21   )              (87   , 56   , 54   )              (68   , 84   , 90   )              (68   , 84   , 90   )              (63   , 32   , 13   )              
31             (82   , 19   , 63   )              (99   , 93   , 87   )              (49   , 39   , 50   )              (92   , 73   , 95   )              (92   , 73   , 95   )              (3    , 71   , 66   )              
32             (68   , 54   , 8    )              (76   , 54   , 96   )              (80   , 35   , 23   )              (55   , 56   , 37   )              (55   , 56   , 37   )              (34   , 6    , 33   )              
33             (9    , 58   , 88   )              (20   , 67   , 19   )              (99   , 26   , 60   )              (7    , 48   , 94   )              (7    , 48   , 94   )              (83   , 94   , 21   )              
34             (63   , 43   , 20   )              (71   , 40   , 6    )              (79   , 13   , 18   )              (62   , 49   , 40   )              (62   , 49   , 40   )              (77   , 32   , 58   )              
35             (8    , 73   , 99   )              (94   , 54   , 77   )              (44   , 34   , 81   )              (9    , 30   , 51   )              (9    , 30   , 51   )              (2    , 48   , 30   )              
