
Beginning data output...


Time           JOINT_HEAD                         JOINT_SHOULDER_LEFT                JOINT_SHOULDER_RIGHT               JOINT_HAND_LEFT                    JOINT_HAND_RIGHT                   JOINT_SPINE_MID                    JOINT_CENTER_MASS                  
1              0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
2              133  , 53   , 1981                 129  , 132  , 1975                 114  , 92   , 2044                 55   , 158  , 1836                 218  , 156  , 1936                 149  , 96   , 2068                 129  , 115  , 2.066                
3              0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
4              133  , 53   , 1981                 127  , 128  , 1975                 110  , 88   , 2106                 64   , 142  , 2044                 220  , 148  , 1895                 141  , 94   , 2074                 126  , 112  , 2.043                
5              133  , 53   , 1981                 126  , 128  , 2091                 111  , 92   , 1998                 64   , 142  , 2044                 218  , 144  , 1953                 143  , 98   , 2081                 122  , 112  , 2.036                
6              133  , 53   , 1981                 125  , 134  , 1943                 110  , 94   , 2044                 64   , 142  , 2044                 218  , 144  , 1953                 141  , 98   , 2081                 122  , 112  , 2.067                
7              0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
8              117  , 63   , 2021                 124  , 130  , 2092                 102  , 94   , 2074                 29   , 154  , 1732                 218  , 134  , 1869                 137  , 98   , 2031                 119  , 115  , 2.045                
9              117  , 63   , 2021                 125  , 136  , 1932                 103  , 104  , 2004                 57   , 142  , 1915                 199  , 136  , 2038                 137  , 98   , 2081                 119  , 115  , 2.073                
10             117  , 63   , 2021                 121  , 134  , 1964                 100  , 94   , 2074                 57   , 142  , 1915                 204  , 146  , 1902                 138  , 96   , 2099                 119  , 115  , 2.072                
11             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
